Open_Date,Open_Time,Close_Date,Close_Time,Day,Hour,Type,Entry,SL,TP,Result,RR,PnL_pts
2023-11-20,20:30:00,2023-11-21,04:30:00,Tuesday,04:30:00,LONG,1975.1,1967.2,1983.0,TP,1,7.9
2023-11-21,17:30:00,2023-11-21,18:30:00,Tuesday,18:30:00,LONG,1990.8,1987.9,1993.7,TP,1,2.9
2023-11-22,12:30:00,2023-11-22,12:30:00,Wednesday,12:30:00,LONG,2002.6,1999.6,2005.6,TP,1,3.0
2023-11-24,21:00:00,2023-11-24,21:00:00,Friday,21:00:00,LONG,2003.9,2000.2,2007.6,SL,-1,-3.7
2023-11-24,23:00:00,2023-11-27,05:30:00,Monday,05:30:00,LONG,2001.1,1997.8,2004.4,TP,1,3.3
2023-11-28,00:30:00,2023-11-28,05:30:00,Tuesday,05:30:00,LONG,2013.9,2010.1,2017.7,TP,1,3.8
2023-11-28,19:30:00,2023-11-28,21:30:00,Tuesday,21:30:00,LONG,2022.9,2011.5,2034.3,TP,1,11.4
2023-11-30,12:30:00,2023-11-30,13:30:00,Thursday,13:30:00,LONG,2066.0,2061.8,2070.2,SL,-1,-4.2
2023-12-01,14:30:00,2023-12-01,16:30:00,Friday,16:30:00,LONG,2065.7,2058.7,2072.7,SL,-1,-7.0
2023-12-01,21:30:00,2023-12-01,22:30:00,Friday,22:30:00,LONG,2073.0,2061.6,2084.4,TP,1,11.4
2023-12-04,20:30:00,2023-12-04,20:30:00,Monday,20:30:00,SHORT,2061.1,2076.7,2045.5,TP,1,15.6
2023-12-05,15:30:00,2023-12-05,16:30:00,Tuesday,16:30:00,SHORT,2046.4,2052.4,2040.4,TP,1,6.0
2023-12-05,20:30:00,2023-12-06,12:30:00,Wednesday,12:30:00,SHORT,2033.4,2048.3,2018.5,SL,-1,-14.9
2023-12-07,15:30:00,2023-12-07,16:30:00,Thursday,16:30:00,LONG,2051.7,2048.0,2055.4,SL,-1,-3.7
2023-12-08,19:30:00,2023-12-08,22:30:00,Friday,22:30:00,SHORT,2030.4,2048.0,2012.8,TP,1,17.6
2023-12-12,14:30:00,2023-12-12,15:30:00,Tuesday,15:30:00,SHORT,1998.7,2003.3,1994.1,SL,-1,-4.6
2023-12-12,21:30:00,2023-12-13,11:30:00,Wednesday,11:30:00,SHORT,1995.6,1999.8,1991.4,TP,1,4.2
2023-12-13,08:30:00,2023-12-13,11:30:00,Wednesday,11:30:00,SHORT,1992.9,1995.5,1990.3,TP,1,2.6
2023-12-15,04:30:00,2023-12-15,04:30:00,Friday,04:30:00,LONG,2051.6,2050.2,2053.0,TP,1,1.4
2023-12-15,13:30:00,2023-12-15,14:30:00,Friday,14:30:00,LONG,2053.6,2050.0,2057.2,TP,1,3.6
2023-12-18,16:30:00,2023-12-18,18:30:00,Monday,18:30:00,SHORT,2033.0,2039.1,2026.9,SL,-1,-6.1
2023-12-16,00:30:00,2023-12-18,23:30:00,Monday,23:30:00,SHORT,2033.8,2048.0,2019.6,SL,-1,-14.2
2023-12-18,23:30:00,2023-12-19,09:30:00,Tuesday,09:30:00,LONG,2047.9,2035.3,2060.5,SL,-1,-12.6
2023-12-20,08:30:00,2023-12-20,15:30:00,Wednesday,15:30:00,LONG,2053.5,2049.7,2057.3,SL,-1,-3.8
2023-12-19,20:30:00,2023-12-20,18:30:00,Wednesday,18:30:00,LONG,2056.1,2042.6,2069.6,SL,-1,-13.5
2023-12-21,02:30:00,2023-12-21,06:30:00,Thursday,06:30:00,SHORT,2042.6,2047.0,2038.2,SL,-1,-4.4
2023-12-22,01:30:00,2023-12-22,04:30:00,Friday,04:30:00,LONG,2057.0,2050.7,2063.3,TP,1,6.3
2023-12-22,13:30:00,2023-12-22,14:30:00,Friday,14:30:00,LONG,2062.6,2059.0,2066.2,TP,1,3.6
2023-12-14,01:30:00,2023-12-22,15:30:00,Friday,15:30:00,LONG,2033.0,1996.7,2069.3,TP,1,36.3
2023-12-21,19:30:00,2023-12-22,16:30:00,Friday,16:30:00,LONG,2057.8,2043.5,2072.1,TP,1,14.3
2023-12-26,11:30:00,2023-12-26,13:30:00,Tuesday,13:30:00,LONG,2075.5,2072.4,2078.6,SL,-1,-3.1
